time,open,high,low,close,Volume,Volume MA,ATR
2026-01-30T12:41:00-08:00,25616.5,25642.25,25614,25639,3867,4238.45,20.030280868256117
2026-01-30T12:42:00-08:00,25638.75,25643.75,25629.75,25634.75,2930,4177.4,19.59954652052354
2026-01-30T12:43:00-08:00,25635,25642.5,25625.25,25633.75,3042,4141.45,19.43172176905757
2026-01-30T12:44:00-08:00,25634.25,25654.75,25634,25649.25,4121,4163.75,19.543741642696318
2026-01-30T12:45:00-08:00,25649,25670.5,25646.5,25669.75,5244,4184.35,19.862045811075152
2026-01-30T12:46:00-08:00,25669.25,25680.75,25666.5,25672.25,4111,4160.8,19.461185395998353
2026-01-30T12:47:00-08:00,25672.5,25696.5,25669.5,25691.75,4152,4190.75,19.999672153427042
2026-01-30T12:48:00-08:00,25692.25,25708,25692,25698.5,4552,4169,19.73183842818225
2026-01-30T12:49:00-08:00,25698.5,25716.5,25698.5,25714.5,3830,4165.7,19.608135683312092
2026-01-30T12:50:00-08:00,25714.5,25730.25,25692.75,25695.25,10533,4366.65,20.886125991646942
2026-01-30T12:51:00-08:00,25695.25,25712,25695,25698,4842,4395,20.60854556367216
2026-01-30T12:52:00-08:00,25697.75,25698.25,25677.25,25691,5940,4468.25,20.636506594838433
2026-01-30T12:53:00-08:00,25691,25691.25,25641,25648.5,6012,4594.15,22.751756123778545
2026-01-30T12:54:00-08:00,25648.5,25658.75,25640,25657.5,8514,4827.05,22.465916400651505
2026-01-30T12:55:00-08:00,25657.75,25672.25,25624.25,25672,7463,4963.75,24.289779514890682
2026-01-30T12:56:00-08:00,25672.25,25675.5,25651,25671,5208,5038.4,24.304795263827064
2026-01-30T12:57:00-08:00,25671.25,25671.5,25658.25,25661,4224,4938.3,23.515167030696556
2026-01-30T12:58:00-08:00,25660.75,25666.5,25653,25665,4940,4987.5,22.799797957075373
2026-01-30T12:59:00-08:00,25664.75,25686,25653.25,25675.75,15623,5613.25,23.510526674427133
2026-01-30T13:00:00-08:00,25675.5,25707,25663.5,25664.75,6480,5781.4,24.93834619768234
2026-01-30T13:01:00-08:00,25664.75,25669,25654.25,25654.5,2739,5725,24.21060718356217
2026-01-30T13:02:00-08:00,25654.75,25660.25,25641.5,25651.25,1920,5674.5,23.82056381330773
2026-01-30T13:03:00-08:00,25651.75,25661,25645.5,25653.5,1400,5592.4,23.22623782664289
2026-01-30T13:04:00-08:00,25653.75,25666,25653.75,25658.5,1460,5459.35,22.460077981882684
2026-01-30T13:05:00-08:00,25658.75,25659.75,25647.75,25650,1092,5251.75,21.71292955460535
2026-01-30T13:06:00-08:00,25649.75,25649.75,25642.25,25646.25,1174,5104.9,20.715577443562108
2026-01-30T13:07:00-08:00,25646.75,25658.75,25636.25,25638.5,1602,4977.4,20.843036197593385
2026-01-30T13:08:00-08:00,25638.75,25643.25,25625.5,25631,1870,4843.3,20.622105040622426
2026-01-30T13:09:00-08:00,25630.75,25634.25,25625.75,25634,1088,4706.2,19.75624039486368
2026-01-30T13:10:00-08:00,25634,25646.25,25633.5,25642.75,1643,4261.7,19.255794652373417
2026-01-30T13:11:00-08:00,25642.75,25653,25641.25,25650.75,1183,4078.75,18.719666462918173
2026-01-30T13:12:00-08:00,25650.75,25651,25641.25,25647,825,3823,18.07897600128116
2026-01-30T13:13:00-08:00,25647.5,25652,25637.25,25651,994,3572.1,17.841192001189647
2026-01-30T13:14:00-08:00,25651.5,25654.75,25646,25648.25,860,3189.4,17.191821143961814
2026-01-30T13:15:00-08:00,25648.5,25657.75,25644.5,25654,599,2846.2,16.910262490821683
2026-01-30T13:16:00-08:00,25653.75,25658.25,25652,25655.75,387,2605.15,16.148815170048707
2026-01-30T13:17:00-08:00,25655.75,25657,25649.5,25650,340,2410.95,15.53104265790237
2026-01-30T13:18:00-08:00,25650,25657,25646.75,25647,424,2185.15,15.153825325195058
2026-01-30T13:19:00-08:00,25647.25,25650.5,25645.75,25648.75,384,1423.2,14.410694944823982
2026-01-30T13:20:00-08:00,25649.25,25657,25646.75,25651.5,524,1125.4,14.113502448765127
2026-01-30T13:21:00-08:00,25652,25657,25646.75,25654,494,1013.15,13.837537988139047
2026-01-30T13:22:00-08:00,25654,25669.5,25653.75,25667.25,913,962.8,13.974142417557687
2026-01-30T13:23:00-08:00,25667.25,25676,25665.75,25673.75,554,920.5,13.708132244874994
2026-01-30T13:24:00-08:00,25674,25676,25671.5,25673.75,354,865.2,13.050408513098208
2026-01-30T13:25:00-08:00,25674.25,25676.5,25667,25668.25,456,833.4,12.796807905019765
2026-01-30T13:26:00-08:00,25668.25,25670.75,25666.5,25667.25,327,791.05,12.186321626089782
2026-01-30T13:27:00-08:00,25667,25667,25653.5,25655.25,533,737.6,12.298012938511942
2026-01-30T13:28:00-08:00,25655.25,25658,25652,25653.5,454,666.8,11.848154871475375
2026-01-30T13:29:00-08:00,25653.5,25654.25,25649.25,25650.25,256,625.2,11.359000952084276
2026-01-30T13:30:00-08:00,25650,25656.75,25648.5,25654.75,408,563.45,11.136929455506829
2026-01-30T13:31:00-08:00,25655.75,25657,25648,25648.5,275,518.05,10.984291637256343
2026-01-30T13:32:00-08:00,25649.25,25649.25,25643.75,25644.25,325,493.05,10.592556520309461
2026-01-30T13:33:00-08:00,25643.75,25650.75,25640.25,25649.75,568,471.75,10.585945340287356
2026-01-30T13:34:00-08:00,25649.5,25651.75,25647.25,25650,327,445.1,10.151234958838259
2026-01-30T13:35:00-08:00,25649.75,25652.75,25645,25648.5,364,433.35,9.979718176064097
2026-01-30T13:36:00-08:00,25647.75,25648.5,25643.5,25645.25,199,423.95,9.624024020630946
2026-01-30T13:37:00-08:00,25644.5,25644.5,25634.25,25637.75,585,436.2,9.722308019157307
2026-01-30T13:38:00-08:00,25638,25638.25,25631,25634.5,393,434.65,9.545714589217498
2026-01-30T13:39:00-08:00,25633.25,25642.75,25632.25,25642.25,421,436.5,9.613877832844821
2026-01-30T13:40:00-08:00,25642.25,25642.75,25637.5,25639.25,234,422,9.302172273355906
2026-01-30T13:41:00-08:00,25639,25640,25633.5,25633.75,297,412.15,9.10201711097334
2026-01-30T13:42:00-08:00,25634,25635,25629.75,25632.75,320,382.5,8.826873031618103
2026-01-30T13:43:00-08:00,25632.5,25637,25631.75,25634.25,290,369.3,8.571382100788238
2026-01-30T13:44:00-08:00,25633.75,25634.5,25630.25,25633.25,358,369.5,8.262711950731935
2026-01-30T13:45:00-08:00,25633.5,25635.75,25629.25,25633.25,475,370.45,8.136803954251082
2026-01-30T13:46:00-08:00,25632.5,25638.25,25629.25,25636.5,490,378.6,8.198460814661718
2026-01-30T13:47:00-08:00,25636,25636.5,25631.5,25632.75,213,362.6,7.969999327900167
2026-01-30T13:48:00-08:00,25632.75,25635.75,25631,25632.75,143,347.05,7.739999375907297
2026-01-30T13:49:00-08:00,25632.75,25637,25631.5,25637,208,344.65,7.579999420485348
2026-01-30T13:50:00-08:00,25636.5,25642.5,25635.5,25636,299,339.2,7.53857089045068
2026-01-30T13:51:00-08:00,25635.25,25638,25632.5,25633.25,173,334.1,7.392958683989917
2026-01-30T13:52:00-08:00,25633,25636.75,25631.25,25636.75,176,326.65,7.257747349419209
2026-01-30T13:53:00-08:00,25636.5,25642.5,25636.5,25642.5,339,315.2,7.167908253032123
2026-01-30T13:54:00-08:00,25642.5,25650,25639,25640.75,581,327.9,7.441629092101257
2026-01-30T13:55:00-08:00,25640.75,25644.5,25635,25640.5,365,327.95,7.588655585522596
2026-01-30T13:56:00-08:00,25640.75,25648.5,25640.5,25642.5,270,331.5,7.618037329413839
2026-01-30T13:57:00-08:00,25642.75,25648.75,25641.25,25643.5,205,312.5,7.609606091598565
2026-01-30T13:58:00-08:00,25642.25,25646.5,25639.75,25643.75,264,306.05,7.548205656484382
2026-01-30T13:59:00-08:00,25644.25,25647,25632,25638.75,513,310.65,8.080476681021212
2026-02-01T15:00:00-08:00,25530,25539,25489.25,25524,3829,490.4,18.18187120380541
2026-02-01T15:01:00-08:00,25522.5,25527.75,25469.75,25471.75,4460,698.55,21.026023260676453
2026-02-01T15:02:00-08:00,25471.5,25471.5,25432.5,25468.25,4003,882.7,22.327735884913846
2026-02-01T15:03:00-08:00,25467.5,25484,25460,25474,3401,1038.25,22.447183321705715
2026-02-01T15:04:00-08:00,25473,25498.25,25469.75,25495.25,2298,1135.25,22.879527370155305
2026-02-01T15:05:00-08:00,25495.25,25498.5,25461.5,25463.25,2168,1219.9,23.888132558001356
2026-02-01T15:06:00-08:00,25463.25,25474.25,25446.5,25453.5,1597,1275.25,24.16398023242983
2026-02-01T15:07:00-08:00,25454.75,25472.75,25439.5,25468.75,1647,1346.95,24.812981644399127
2026-02-01T15:08:00-08:00,25470.5,25473.75,25441,25441.5,1182,1398.9,25.379911526942045
2026-02-01T15:09:00-08:00,25441.75,25449.25,25418.5,25422,1780,1477.5,25.763489275017612
2026-02-01T15:10:00-08:00,25423.25,25427.75,25402,25406,2320,1578.55,25.7625257553735
2026-02-01T15:11:00-08:00,25407,25420.75,25400.5,25407.25,1728,1656.3,25.368773915703965
2026-02-01T15:12:00-08:00,25407.25,25433,25406,25432.25,1478,1721.4,25.48529006458225
2026-02-01T15:13:00-08:00,25431,25454.75,25431,25446,1781,1793.5,25.36134077425495
2026-02-01T15:14:00-08:00,25446,25454.5,25435.5,25441.5,1088,1818.85,24.906959290379596
2026-02-01T15:15:00-08:00,25442,25465.5,25441.5,25445.75,1388,1870,24.84217648392391
2026-02-01T15:16:00-08:00,25446.5,25452,25445.25,25449,329,1872.95,23.54987816364363
2026-02-01T15:17:00-08:00,25449,25462,25449,25458,579,1891.65,22.796315437669083
2026-02-01T15:18:00-08:00,25459.25,25459.25,25433.5,25433.5,1215,1939.2,23.007292906407006
2026-02-01T15:19:00-08:00,25434.5,25436.5,25413.5,25420.25,1561,1991.6,23.00677198452079
2026-02-01T15:20:00-08:00,25420,25429,25413,25419.5,1061,1853.2,22.506288271340733
2026-02-01T15:21:00-08:00,25419.5,25438.75,25419.5,25427,1219,1691.15,22.27369625195925
2026-02-01T15:22:00-08:00,25426.75,25426.75,25409.5,25413.5,1069,1544.45,21.932717948247873
2026-02-01T15:23:00-08:00,25413.75,25427.5,25408.25,25420.25,972,1423,21.741095237658737
2026-02-01T15:24:00-08:00,25420,25432.75,25419.75,25426.75,741,1345.15,21.116731292111684
2026-02-01T15:25:00-08:00,25426,25445.5,25425.5,25441.5,1078,1290.65,21.036964771246566
2026-02-01T15:26:00-08:00,25441.25,25444.25,25429.25,25436.25,904,1256,20.60575300187181
2026-02-01T15:27:00-08:00,25436.5,25438,25391.25,25392.75,2324,1289.85,22.473199216023826
