session_date,rth_start,rth_end,ib_high,ib_low,ib_range,midpoint,ib_volume,total_volume,relative_ib_volume,rth_high,rth_low,rth_close,rotation,failed_auction,breakside,breakside_rotation_up,breakside_rotation_down,breakside_retracement_points,breakside_retracement_normib,opening_window_minutes,opening_range_high,opening_range_low,opening_range,opening_range_close,opening_direction,opening_type,opening_bar_open,opening_bar_close,opening_bar_open_close,opening_bar_volume
2023-10-19,06:30,13:00,15109.25,15004.0,105.25,15056.625,298888.0,1594190.0,0.18748580783971797,15138.0,14852.0,14886.0,True,failed_high,low,14852.0,,134.0,1.2731591448931117,10,15109.25,15036.25,73.0,15048.25,down,auction,15087.75,15103.75,16.0,8088.0
2023-10-20,06:30,13:00,14885.75,14760.5,125.25,14823.125,318949.0,1147360.0,0.2779851136522103,14885.75,14651.5,14661.5,False,none,low,,,43.0,0.34331337325349304,10,14863.25,14810.5,52.75,14850.75,down,auction,14862.0,14836.75,-25.25,8806.0
2023-10-23,06:30,13:00,14687.75,14514.25,173.5,14601.0,322361.0,1055236.0,0.3054871137830779,14854.25,14514.25,14706.0,False,none,high,,,21.75,0.12536023054755044,10,14630.0,14542.25,87.75,14547.0,down,auction,14602.0,14621.0,19.0,10233.0
2023-10-24,06:30,13:00,14849.5,14759.0,90.5,14804.25,345296.0,1037274.0,0.33288793510682807,14877.75,14705.75,14846.0,True,failed_both,high,14705.75,14861.0,143.75,1.5883977900552486,10,14819.0,14762.5,56.5,14812.5,up,auction,14778.25,14798.75,20.5,7989.0
2023-10-25,06:30,13:00,14749.0,14597.0,152.0,14673.0,302102.0,1084566.0,0.2785464416181219,14749.0,14451.75,14478.25,False,none,low,,,28.75,0.18914473684210525,10,14749.0,14642.0,107.0,14660.25,down,auction,14741.5,14726.75,-14.75,8909.0
2023-10-26,06:30,13:00,14459.25,14270.0,189.25,14364.625,371860.0,1329432.0,0.27971344152991656,14459.25,14136.5,14194.75,False,none,low,,,114.25,0.6036988110964333,10,14459.25,14368.75,90.5,14370.5,down,auction,14420.75,14408.75,-12.0,12954.0
2023-10-27,06:30,13:00,14370.25,14291.0,79.25,14330.625,294047.0,1142106.0,0.2574603408089967,14407.5,14209.5,14266.25,True,failed_high,low,14209.5,,116.5,1.4700315457413249,10,14349.5,14306.75,42.75,14313.75,up,auction,14306.75,14322.5,15.75,9787.0
2023-10-30,06:30,13:00,14476.25,14331.0,145.25,14403.625,294459.0,980320.0,0.30037028725314185,14476.25,14306.25,14420.5,False,failed_low,low,,14472.0,141.0,0.9707401032702238,10,14427.0,14334.75,92.25,14426.25,up,auction,14365.25,14355.75,-9.5,7685.0
2023-10-31,06:30,13:00,14429.0,14311.25,117.75,14370.125,262653.0,948339.0,0.2769610867000092,14503.5,14311.25,14487.75,False,none,high,,,62.75,0.5329087048832272,10,14429.0,14327.0,102.0,14349.0,down,auction,14419.25,14404.75,-14.5,7554.0
2023-11-01,06:30,13:00,14639.0,14515.25,123.75,14577.125,246054.0,1012557.0,0.2430026161490168,14762.0,14515.25,14742.5,False,none,high,,,80.75,0.6525252525252525,10,14548.75,14515.25,33.5,14544.5,up,auction,14519.75,14528.0,8.25,7277.0
